Batches,Layer,Method,Kendall_Tau,Spearman,Top30_Overlap_Pct
50,layer1.0.conv2,Gradient Magnitude,0.7440476190476191,0.9127289377289376,94.73684210526315
50,layer1.0.conv2,Magnitude (Sigma),0.8680555555555555,0.9734890109890109,94.73684210526315
50,layer1.0.conv2,Energy (Sigma^2),0.8680555555555555,0.9734890109890109,94.73684210526315
50,layer1.0.conv2,True Loss Increase,0.5187392850288564,0.7086405062605521,100.0
50,layer1.0.conv3,Hessian Full,1.0,0.9999999999999998,100.0
50,layer1.0.conv3,Hessian Diag,1.0,0.9999999999999998,100.0
50,layer1.0.conv3,Fisher Full,1.0,0.9999999999999998,100.0
50,layer1.0.conv3,Fisher Diag,0.9404761904761904,0.9927655677655676,94.73684210526315
50,layer1.0.conv3,Taylor 1st-order,0.9404761904761904,0.9927655677655676,94.73684210526315
50,layer1.0.conv3,Gradient Magnitude,0.7093253968253967,0.8833333333333333,68.42105263157895
50,layer1.0.conv3,Magnitude (Sigma),0.8511904761904763,0.969139194139194,94.73684210526315
50,layer1.0.conv3,Energy (Sigma^2),0.8511904761904763,0.969139194139194,94.73684210526315
50,layer1.0.conv3,True Loss Increase,0.6507820121271107,0.8316314858299397,84.21052631578947
50,layer1.1.conv1,Hessian Full,1.0,0.9999999999999998,100.0
50,layer1.1.conv1,Hessian Diag,1.0,0.9999999999999998,100.0
50,layer1.1.conv1,Fisher Full,1.0,0.9999999999999998,100.0
50,layer1.1.conv1,Fisher Diag,0.9325396825396824,0.9900641025641025,94.73684210526315
50,layer1.1.conv1,Taylor 1st-order,0.9325396825396824,0.9900641025641025,94.73684210526315
50,layer1.1.conv1,Gradient Magnitude,0.7658730158730158,0.9170329670329669,78.94736842105263
50,layer1.1.conv1,Magnitude (Sigma),0.8829365079365079,0.9787087912087912,94.73684210526315
50,layer1.1.conv1,Energy (Sigma^2),0.8829365079365079,0.9787087912087912,94.73684210526315
50,layer1.1.conv1,True Loss Increase,0.33979173352929004,0.4767029224140749,84.21052631578947
50,layer1.1.conv2,Hessian Full,1.0,0.9999999999999998,100.0
50,layer1.1.conv2,Hessian Diag,1.0,0.9999999999999998,100.0
50,layer1.1.conv2,Fisher Full,1.0,0.9999999999999998,100.0
50,layer1.1.conv2,Fisher Diag,0.9097222222222221,0.9862637362637361,94.73684210526315
50,layer1.1.conv2,Taylor 1st-order,0.9097222222222221,0.9862637362637361,94.73684210526315
50,layer1.1.conv2,Gradient Magnitude,0.6607142857142857,0.8438644688644688,68.42105263157895
50,layer1.1.conv2,Magnitude (Sigma),0.8521825396825397,0.9657967032967032,94.73684210526315
