Batches,Layer,Method,Kendall_Tau,Spearman,Top30_Overlap_Pct
10,layer2.0.conv1,True Loss Increase,0.6156496062992127,0.7841741439296831,92.10526315789474
50,layer1.0.conv1,Hessian Full,1.0,0.9999999999999998,100.0
50,layer1.0.conv1,Hessian Diag,1.0,0.9999999999999998,100.0
50,layer1.0.conv1,Fisher Full,1.0,0.9999999999999998,100.0
50,layer1.0.conv1,Fisher Diag,0.9444444444444444,0.994047619047619,94.73684210526315
50,layer1.0.conv1,Taylor 1st-order,0.9444444444444444,0.994047619047619,94.73684210526315
50,layer1.0.conv1,Gradient Magnitude,0.683531746031746,0.8407967032967033,89.47368421052632
50,layer1.0.conv1,Magnitude (Sigma),0.9057539682539683,0.9831959706959705,100.0
50,layer1.0.conv1,Energy (Sigma^2),0.9057539682539683,0.9831959706959705,100.0
50,layer1.0.conv1,True Loss Increase,0.635506688312709,0.7998168288470552,94.73684210526315
50,layer1.0.conv2,Hessian Full,1.0,0.9999999999999998,100.0
50,layer1.0.conv2,Hessian Diag,1.0,0.9999999999999998,100.0
50,layer1.0.conv2,Fisher Full,1.0,0.9999999999999998,100.0
50,layer1.0.conv2,Fisher Diag,0.9166666666666666,0.988186813186813,100.0
50,layer1.0.conv2,Taylor 1st-order,0.9176587301587302,0.9886446886446886,100.0
50,layer1.0.conv2,Gradient Magnitude,0.6994047619047619,0.8892399267399266,84.21052631578947
50,layer1.0.conv2,Magnitude (Sigma),0.863095238095238,0.9696886446886446,94.73684210526315
50,layer1.0.conv2,Energy (Sigma^2),0.863095238095238,0.9696886446886446,94.73684210526315
50,layer1.0.conv2,True Loss Increase,0.6904941105025255,0.8649205558772013,100.0
50,layer2.0.conv1,Hessian Full,1.0,1.0,100.0
50,layer2.0.conv1,Hessian Diag,1.0,1.0,100.0
50,layer2.0.conv1,Fisher Full,1.0,1.0,100.0
50,layer2.0.conv1,Fisher Diag,0.9210137795275591,0.9902089818714519,92.10526315789474
50,layer2.0.conv1,Taylor 1st-order,0.9210137795275591,0.9902089818714519,92.10526315789474
50,layer2.0.conv1,Gradient Magnitude,0.6685531496062993,0.8582391045596044,73.68421052631578
50,layer2.0.conv1,Magnitude (Sigma),0.8718011811023623,0.9772763687969236,92.10526315789474
50,layer2.0.conv1,Energy (Sigma^2),0.8718011811023623,0.9772763687969236,92.10526315789474
50,layer2.0.conv1,True Loss Increase,0.6173720472440946,0.7827378227430873,89.47368421052632
100,layer1.0.conv1,Hessian Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv1,Hessian Diag,1.0,0.9999999999999998,100.0
100,layer1.0.conv1,Fisher Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv1,Fisher Diag,0.9454365079365078,0.9940934065934065,94.73684210526315
100,layer1.0.conv1,Taylor 1st-order,0.9454365079365078,0.9940934065934065,94.73684210526315
100,layer1.0.conv1,Gradient Magnitude,0.7023809523809523,0.8538919413919412,94.73684210526315
100,layer1.0.conv1,Magnitude (Sigma),0.9077380952380952,0.983562271062271,100.0
100,layer1.0.conv1,Energy (Sigma^2),0.9077380952380952,0.983562271062271,100.0
100,layer1.0.conv1,True Loss Increase,0.641473887264002,0.802610508792066,94.73684210526315
100,layer1.0.conv2,Hessian Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv2,Hessian Diag,1.0,0.9999999999999998,100.0
100,layer1.0.conv2,Fisher Full,1.0,0.9999999999999998,100.0
100,layer1.0.conv2,Fisher Diag,0.929563492063492,0.9913003663003662,100.0
100,layer1.0.conv2,Taylor 1st-order,0.929563492063492,0.9913003663003662,100.0
100,layer1.0.conv2,Gradient Magnitude,0.7073412698412699,0.8902930402930401,84.21052631578947
100,layer1.0.conv2,Magnitude (Sigma),0.863095238095238,0.9715201465201464,94.73684210526315
100,layer1.0.conv2,Energy (Sigma^2),0.863095238095238,0.9715201465201464,94.73684210526315
100,layer1.0.conv2,True Loss Increase,0.6785804809899012,0.8567242098820709,100.0
100,layer2.0.conv1,Hessian Full,1.0,1.0,100.0
100,layer2.0.conv1,Hessian Diag,1.0,1.0,100.0
100,layer2.0.conv1,Fisher Full,1.0,1.0,100.0
